district,name,state,partyid,corptpct,labtpct,mexbordr,timing,dleader,rleader,ncomact,vote,pscenter,inter1,ideol,hhcenter,inter2,perotsq,pecenter,mexstate
0,Young,AK,0,0.21,0.06,0,458,0,0,0,0,0.013058,0.013058,1,1.069212,1.069212,0.0838402,0.1042195,0
1,Callahan,AL,0,0.34,0.05,0,460,0,0,0,1,-0.0143433,-0.0143433,1,-0.783488,-0.783488,0.013601,-0.0687088,0
2,Everett,AL,0,0,0,0,313,0,0,0,0,-0.0146097,-0.0146097,1,-0.6341879,-0.6341879,0.0136498,-0.0685001,0
3,Browder,AL,1,0.16,0.1,0,435,0,0,0,0,0.0132269,0,0,-0.912188,0,0.0115697,-0.0777699,0
4,Bevill,AL,1,0.2,0.03,0,350,1,0,0,0,0.0097189,0,0,-0.9838881,0,0.0141416,-0.066414,0
5,Cramer,AL,1,0.21,0.13,0,435,0,0,0,0,-0.0322341,0,0,-0.235188,0,0.0219299,-0.0372449,0
6,Bachus,AL,0,0.16,0,0,350,0,0,1,1,-0.0111349,-0.0111349,1,0.1148119,0.1148119,0.0098025,-0.0863246,0
7,Hilliard,AL,1,0.16,0.09,0,350,0,0,0,0,-0.0135957,0,0,-1.415588,0,0.0028118,-0.1323061,0
1,Lambert,AR,1,0.14,0.05,0,460,0,0,1,1,-0.0335787,0,0,-1.253588,0,0.0081473,-0.0950698,0
2,Thornton,AR,1,0.12,0.16,0,460,0,0,0,1,-0.0387039,0,0,-0.557388,0,0.0067956,-0.1028969,0
3,Hutchinson,AR,0,0.12,0,0,448,0,0,0,1,-0.0553269,-0.0553269,1,-0.881288,-0.881288,0.0203248,-0.0427672,0
4,Dickey,AR,0,0.01,0,0,225,0,0,0,1,-0.032389,-0.032389,1,-1.109488,-1.109488,0.0103921,-0.0833905,0
1,Coppersmith,AZ,1,0.03,0.14,0,225,0,0,0,1,-0.0746455,0,0,0.0572119,0,0.0675559,0.0745829,1
2,Pastor,AZ,1,0.09,0.27,1,396,0,0,0,1,-0.0732513,0,0,-1.045788,0,0.0392991,0.0129077,1
3,Stump,AZ,0,0.32,0,0,435,0,0,0,1,-0.0706246,-0.0706246,1,-0.3088879,-0.3088879,0.0742233,0.0871073,1
4,Kyl,AZ,0,0.15,0,0,396,0,1,0,1,-0.0746455,-0.0746455,1,0.2965119,0.2965119,0.0653326,0.0702702,1
5,Kolbe,AZ,0,0.18,0,1,396,0,0,0,1,-0.0703261,-0.0703261,1,-0.366888,-0.366888,0.0415524,0.0185119,1
6,English,AZ,1,0.03,0.1,0,453,0,0,0,1,-0.0703005,0,0,-0.5005879,0,0.0556534,0.0505775,1
1,Hamburg,CA,1,0,0.18,0,396,0,0,0,0,0.0096523,0,0,0.022712,0,0.057413,0.0542778,1
2,Herger,CA,0,0.12,0.02,0,456,0,0,1,1,-0.0140896,-0.0140896,1,-0.590888,-0.590888,0.0656642,0.070918,1
3,Fazio,CA,1,0.2,0.12,0,397,1,0,0,1,0.0057748,0,0,-0.0419881,0,0.0477964,0.0332915,1
4,Doolittle,CA,0,0.18,0.01,0,397,0,0,1,0,-0.0021907,-0.0021907,1,0.505612,0.505612,0.0644809,0.0685987,1
5,Matsui,CA,1,0.2,0.07,0,396,0,0,1,1,-0.0008457,0,0,-0.074188,0,0.0323378,-0.0055051,1
6,Woolsey,CA,1,0.03,0.18,0,395,0,0,0,0,0.016432,0,0,0.9848118,0,0.0407497,0.0165333,1
7,Miller,CA,1,0.16,0.18,0,275,0,0,0,0,0.0650952,0,0,0.789212,0,0.0286704,-0.016009,1
8,Pelosi,CA,1,0.12,0.22,0,449,0,0,0,1,0.0682431,0,0,0.094312,0,0.0073068,-0.0998522,1
9,Dellums,CA,1,0.02,0.07,0,395,0,0,0,0,0.0730088,0,0,-0.064888,0,0.0079856,-0.0959701,1
10,Baker,CA,0,0.11,0,0,395,0,0,0,1,0.0730088,0.0730088,1,2.166212,2.166212,0.0483991,0.0346656,1
11,Pombo,CA,0,0.12,0,0,462,0,0,0,0,0.0139427,0.0139427,1,0.088912,0.088912,0.0438794,0.0241417,1
12,Lantos,CA,1,0.03,0.13,0,302,0,0,0,0,0.0682431,0,0,1.400412,0,0.0247438,-0.0280305,1
13,Stark,CA,1,0.11,0.11,0,302,0,0,1,0,0.0206309,0,0,1.316112,0,0.0400652,0.0148305,1
14,Eshoo,CA,1,0.02,0.14,0,458,0,0,0,1,0.0038319,0,0,1.936212,0,0.0390139,0.0121871,1
15,Mineta,CA,1,0.25,0.13,0,461,1,0,0,1,-0.0257304,0,0,2.010712,0,0.054665,0.0484732,1
16,Edwards,CA,1,0.15,0.3,0,396,0,0,0,0,-0.0241086,0,0,1.150712,0,0.0421703,0.0200219,1
17,Farr,CA,1,0.14,0.14,0,241,0,0,0,1,-0.0227275,0,0,0.3195119,0,0.039752,0.0140467,1
18,Condit,CA,1,0.08,0.11,0,389,0,0,0,0,0.051204,0.051204,1,-0.2391879,-0.2391879,0.047502,0.0326171,1
19,Lehman,CA,1,0.18,0.17,0,458,0,0,1,1,-0.0099773,0,0,-0.1562881,0,0.0338207,-0.0014282,1
20,Dooley,CA,1,0.1,0.11,0,304,0,0,1,1,-0.0055071,-0.0055071,1,-0.9575879,-0.9575879,0.0242714,-0.0295396,1
21,Thomas,CA,0,0.21,0.01,0,304,0,0,1,1,-0.0206266,-0.0206266,1,-0.0772881,-0.0772881,0.0444513,0.0255025,1
22,Huffington,CA,0,0,0,0,395,0,0,1,1,-0.0307768,-0.0307768,1,0.296412,0.296412,0.0551452,0.0494978,1
23,Gallegly,CA,0,0.15,0,0,395,0,0,0,0,-0.0168849,-0.0168849,1,1.227312,1.227312,0.0732902,0.0853893,1
24,Seilenson,CA,1,0,0,0,364,0,0,0,1,0.0103596,0,0,1.771712,0,0.0469573,0.0313641,1
25,McKeon,CA,0,0.07,0,0,460,0,0,0,1,0.0114996,0.0114996,1,1.576412,1.576412,0.0619065,0.0634778,1
26,Berman,CA,1,0.11,0.14,0,415,0,0,0,1,0.0114996,0,0,0.1418119,0,0.0357292,0.0036895,1
27,Moorhead,CA,0,0.33,0,0,463,0,0,1,1,0.0114996,0.0114996,1,0.7213121,0.7213121,0.0362021,0.0049361,1
28,Dreier,CA,0,0.1,0,0,396,0,0,0,1,0.0114996,0.0114996,1,1.279212,1.279212,0.0433099,0.0227781,1
29,Waxman,CA,1,0.16,0.09,0,459,0,0,1,0,0.0114996,0,0,0.682412,0,0.0181351,-0.0506657,1
30,Becerra,CA,1,0.04,0.13,0,441,0,0,0,1,0.0114996,0,0,-0.7280881,0,0.0173243,-0.0537106,1
31,Martinez,CA,1,0.1,0.24,0,435,0,0,0,0,0.0114996,0,0,-0.004888,0,0.0255961,-0.0253444,1
32,Dixon,CA,1,0.2,0.2,0,396,0,0,0,0,0.0114996,0,0,-0.2393879,0,0.0086205,-0.0924857,1
