district,name,state,partyid,corptpct,labtpct,mexbordr,timing,dleader,rleader,ncomact,vote,pscenter,inter1,ideol,hhcenter,inter2,perotsq,pecenter,mexstate
33,Roybal-Allard,CA,1,0.04,0.1,0,458,0,0,1,1,0.0114996,0,0,-1.000788,0,0.0179242,-0.0514509,1
34,Torres,CA,1,0.08,0.09,0,437,1,0,0,1,0.0114996,0,0,0.5508121,0,0.0324964,-0.0050647,1
35,Waters,CA,1,0.07,0.25,0,396,0,0,1,0,0.0114996,0,0,-0.523488,0,0.0085725,-0.0927447,1
36,Harman,CA,1,0.02,0.03,0,356,0,0,0,0,0.0114996,0,0,1.780612,0,0.053863,0.0467518,1
37,Tucker,CA,1,0.05,0.13,0,356,0,0,0,0,0.0114996,0,0,-0.3588881,0,0.011057,-0.0801802,1
38,Horn,CA,0,0,0,0,396,0,0,0,1,0.0114996,0.0114996,1,0.3648119,0.3648119,0.048008,0.033775,1
39,Royce,CA,0,0.17,0,0,455,0,0,0,0,0.0034338,0.0034338,1,1.548012,1.548012,0.0489303,0.0358697,1
40,Lewis,CA,0,0.42,0.02,0,396,0,0,0,1,0.0376236,0.0376236,1,-0.0307879,-0.0307879,0.0619528,0.0635709,1
41,Kim,CA,0,0.04,0,0,462,0,0,0,1,0.0073333,0.0073333,1,1.389112,1.389112,0.0495561,0.0372798,1
42,Brown,CA,1,0.18,0.18,0,399,0,0,0,1,0.0152007,0,0,0.3021119,0,0.0456054,0.028222,1
43,Calvert,CA,0,0.11,0,0,400,0,0,0,1,0.0383278,0.0383278,1,0.7090121,0.7090121,0.057455,0.0543655,1
44,McCandless,CA,0,0.31,0.01,0,350,0,0,1,1,0.0383278,0.0383278,1,-0.1666879,-0.1666879,0.0560695,0.0514577,1
45,Rohrabacher,CA,0,0.11,0,0,350,0,0,0,1,-0.0262227,-0.0262227,1,1.435812,1.435812,0.0646611,0.0689532,1
46,Dornan,CA,0,0.02,0,0,395,0,0,0,1,-0.0262227,-0.0262227,1,0.470012,0.470012,0.0530459,0.0449847,1
47,Cox,CA,0,0.19,0,0,395,0,0,0,1,-0.0262227,-0.0262227,1,2.083812,2.083812,0.0532969,0.045529,1
48,Packard,CA,0,0.39,0.02,0,441,0,0,0,1,-0.0149268,-0.0149268,1,1.167312,1.167312,0.071831,0.0826808,1
49,Schenk,CA,1,0.04,0.1,1,355,0,0,1,0,-0.0289781,0,0,0.1846121,0,0.062811,0.065289,1
50,Filner,CA,1,0.03,0.14,1,85,0,0,0,0,-0.0289781,0,0,-0.3060879,0,0.0450234,0.0268548,1
51,Cunningham,CA,0,0.15,0.02,0,458,0,0,0,1,-0.0289781,-0.0289781,1,1.447012,1.447012,0.0748641,0.0882807,1
52,Hunter,CA,0,0.22,0.02,1,128,0,0,0,0,-0.0284767,-0.0284767,1,0.233012,0.233012,0.0828315,0.1024724,1
1,Schroder,CO,1,0.05,0.05,0,396,1,0,0,1,-0.031893,0,0,-0.584588,0,0.0320538,-0.0062966,0
2,Skagge,CO,1,0.08,0.2,0,386,0,0,0,1,-0.0391948,0,0,0.4401119,0,0.0596405,0.0588817,0
3,McInnis,CO,0,0.14,0,0,386,0,0,0,1,-0.0422475,-0.0422475,1,-0.6194879,-0.6194879,0.0634932,0.0666463,0
4,Allard,CO,0,0.18,0.04,0,386,0,0,0,1,-0.0474371,-0.0474371,1,-0.4138879,-0.4138879,0.0618802,0.063425,0
5,Hefley,CO,0,0.38,0.03,0,462,0,0,0,1,-0.0510477,-0.0510477,1,0.263212,0.263212,0.0510558,0.040623,0
6,Schaefer,CO,0,0.41,0.03,0,458,0,0,1,1,-0.031893,-0.031893,1,0.661712,0.661712,0.0643763,0.0683925,0
1,Kennelly,CT,1,0.26,0.1,0,390,1,0,1,0,-0.0112909,0,0,0.924512,0,0.0378918,0.0093259,0
2,Gejdenson,CT,1,0.06,0.1,0,390,0,0,0,0,0.0170621,0,0,0.7808121,0,0.0751794,0.0888563,0
3,DeLauro,CT,1,0.07,0.21,0,396,0,0,0,0,0.00194,0,0,0.9099119,0,0.0398057,0.0141813,0
4,Shays,CT,0,0.06,0.02,0,396,0,0,0,1,-0.0150312,-0.0150312,1,1.692012,1.692012,0.024628,-0.0283991,0
5,Franks,CT,0,0.22,0.01,0,396,0,0,1,1,0.003101,0.003101,1,1.334012,1.334012,0.052329,0.043423,0
6,Johnson,CT,0,0.28,0.01,0,427,0,1,1,1,-0.0008347,-0.0008347,1,1.210112,1.210112,0.0596267,0.0588535,0
0,Castle,DE,0,0.18,0.01,0,458,0,0,1,1,0.0239503,0.0239503,1,0.4159119,0.4159119,0.0423952,0.0205687,0
1,Hutto,FL,1,0.28,0.03,0,395,0,0,0,1,-0.0795287,-0.0795287,1,-0.4849879,-0.4849879,0.053428,0.0458126,0
2,Peterson,FL,1,0.18,0.27,0,275,0,0,0,0,-0.0855913,0,0,-0.732788,0,0.0381276,0.0099306,0
3,Brown,FL,1,0.1,0.18,0,275,0,0,0,0,-0.072518,0,0,-1.093588,0,0.0167765,-0.0558081,0
4,Fowler,FL,0,0.11,0,0,395,0,0,0,1,-0.0658603,-0.0658603,1,0.0991121,0.0991121,0.0274022,-0.0197961,0
5,Thurman,FL,1,0.1,0.17,0,359,0,0,0,0,-0.0843253,0,0,-0.9341881,0,0.0585175,0.0565717,0
6,Stearns,FL,0,0.18,0.01,0,395,0,0,1,0,-0.0613939,-0.0613939,1,-0.469088,-0.469088,0.0458422,0.0287756,0
7,Mica,FL,0,0.11,0,0,395,0,0,0,0,-0.081205,-0.081205,1,0.0205119,0.0205119,0.0440427,0.0245311,0
8,McCollum,FL,0,0.23,0,0,441,0,1,1,1,-0.0754008,-0.0754008,1,0.0535119,0.0535119,0.0403971,0.0156581,0
9,Bilirakis,FL,0,0.17,0.01,0,395,0,0,1,0,-0.0848801,-0.0848801,1,-0.1422879,-0.1422879,0.0606997,0.0610408,0
10,Young,FL,0,0.42,0,0,463,0,0,0,1,-0.0848801,-0.0848801,1,-0.5570881,-0.5570881,0.0566771,0.0527372,0
11,Gibbons,FL,1,0.34,0.02,0,178,0,0,1,1,-0.0848801,0,0,-0.454988,0,0.0387239,0.0114516,0
12,Canady,FL,0,0.12,0,0,275,0,0,0,0,-0.0749243,-0.0749243,1,-0.5400879,-0.5400879,0.0399594,0.0145662,0
13,Miller,FL,0,0.07,0,0,463,0,0,0,1,-0.0890727,-0.0890727,1,-0.309988,-0.309988,0.0504991,0.0393879,0
14,Goss,FL,0,0.04,0,0,396,0,0,0,1,-0.0945161,-0.0945161,1,-0.1095881,-0.1095881,0.0506725,0.0397733,0
15,Bacchus,FL,1,0.16,0.21,0,396,0,0,1,1,-0.0530185,0,0,-0.0960879,0,0.0663027,0.0721607,0
16,Lewis,FL,0,0.2,0.02,0,259,0,0,0,1,-0.0898074,-0.0898074,1,-0.0133881,-0.0133881,0.0620339,0.0637338,0
17,Meek,FL,1,0.04,0.12,0,396,0,0,0,1,-0.0771635,0,0,-0.8816881,0,0.0053753,-0.1120156,0
18,Ros-Lehtinen,FL,0,0.1,0.01,0,396,0,0,0,0,-0.0771635,-0.0771635,1,-0.517888,-0.517888,0.010604,-0.0823566,0
19,Johnston,FL,1,0.11,0.22,0,458,0,0,1,1,-0.0865095,0,0,0.368012,0,0.0251666,-0.0266924,0
20,Deutsch,FL,1,0.04,0.08,0,441,0,0,1,0,-0.0785608,0,0,0.4662121,0,0.038312,0.0104022,0
21,Diaz-Balart,FL,0,0.09,0.11,0,396,0,0,0,0,-0.0771635,-0.0771635,1,0.1327119,0.1327119,0.0112415,-0.0793063,0
22,Shaw,FL,0,0.23,0.01,0,463,0,0,0,1,-0.0820461,-0.0820461,1,-0.1120879,-0.1120879,0.0302729,-0.0113412,0
23,Hastings,FL,1,0.02,0.27,0,396,0,0,0,1,-0.0817825,0,0,-0.767688,0,0.0210475,-0.0402547,0
1,Kingsotn,GA,0,0.13,0,0,463,0,0,0,0,-0.052635,-0.052635,1,-0.545088,-0.545088,0.0224639,-0.0354528,0
2,Bishop,GA,1,0.17,0.1,0,435,0,0,0,0,-0.0535557,0,0,-1.277388,0,0.0113885,-0.0786155,0
3,Collins,GA,0,0.12,0,0,396,0,0,0,0,-0.0510909,-0.0510909,1,0.1664119,0.1664119,0.0218035,-0.0376722,0
4,Linder,GA,0,0.17,0,0,437,0,0,1,1,-0.0469673,-0.0469673,1,0.9587122,0.9587122,0.0174348,-0.0532913,0
5,Lewis,GA,1,0.25,0.34,0,396,1,0,1,0,-0.0469673,0,0,-0.482388,0,0.0053894,-0.1119196,0
6,Gingrich,GA,0,0.13,0,0,398,0,1,0,1,-0.0469673,-0.0469673,1,1.628112,1.628112,0.0223662,-0.0357791,0
7,Darden,GA,1,0.28,0.07,0,463,0,0,0,1,-0.0525749,0,0,-0.188488,0,0.022561,-0.0351289,0
8,Rowland,GA,1,0.28,0.01,0,460,0,0,1,1,-0.0530325,-0.0530325,1,-0.4971881,-0.4971881,0.0233884,-0.0323996,0
9,Deal,GA,1,0.09,0.03,0,462,0,0,0,1,-0.053481,-0.053481,1,-0.4134881,-0.4134881,0.0263904,-0.0228811,0
10,Johnson,GA,1,0.1,0.03,0,460,0,0,0,1,-0.0498367,0,0,-0.316288,0,0.0209267,-0.0406716,0
11,McKinney,GA,1,0.1,0.19,0,460,0,0,0,0,-0.0469941,0,0,-0.595288,0,0.0074637,-0.0989398,0
1,Abercrombie,HI,1,0.07,0.3,0,396,0,0,0,0,0.1439212,0,0,0.9541121,0,0.0163577,-0.0574352,0
2,Mink,HI,1,0.04,0.21,0,232,0,0,0,0,0.1439212,0,0,0.653112,0,0.0253004,-0.0262713,0
1,Leach,IA,0,0,0,0,210,0,0,1,1,0.0058496,0.0058496,1,-0.1171879,-0.1171879,0.0365047,0.0057296,0
2,Nussle,IA,0,0.18,0,0,396,0,0,1,1,-0.0079224,-0.0079224,1,-0.5705881,-0.5705881,0.0417587,0.0190172,0
3,Lightfoot,IA,0,0.16,0,0,435,0,0,0,1,-0.0171982,-0.0171982,1,-0.5948879,-0.5948879,0.0317234,-0.0072216,0
4,Smith,IA,1,0.17,0.16,0,458,0,0,0,1,-0.0213803,0,0,-0.2124879,0,0.0306026,-0.0103964,0
5,Grandy,IA,0,0.35,0.01,0,385,0,0,1,1,-0.0157602,-0.0157602,1,-0.656588,-0.656588,0.0376589,0.0087268,0
1,LaRocco,ID,1,0.2,0.17,0,323,0,0,1,0,-0.0427481,0,0,-0.562988,0,0.0763275,0.0909421,0
2,Crapo,ID,0,0.19,0,0,323,0,0,1,0,-0.0401406,-0.0401406,1,-0.526988,-0.526988,0.0746854,0.087954,0
1,Rush,IL,1,0.1,0.15,0,359,0,0,1,0,0.0471441,0,0,-0.6575879,0,0.004313,-0.1196588,0
2,Reynolds,IL,1,0.06,0.13,0,396,0,0,1,1,0.0471441,0,0,-0.0498881,0,0.0048566,-0.1156432,0
3,Lipinski,IL,1,0.14,0.21,0,396,0,0,0,0,0.0471441,0,0,0.553412,0,0.0401961,0.0151573,0
4,Gucierrez,IL,1,0.03,0.19,0,460,0,0,1,0,0.0471441,0,0,-0.763288,0,0.0145438,-0.0647347,0
5,Rostenkowski,IL,1,0.32,0.06,0,238,0,0,1,1,0.0471441,0,0,0.254612,0,0.025818,-0.0246525,0
6,Hyde,IL,0,0.23,0,0,441,0,0,0,1,0.0471441,0.0471441,1,1.350012,1.350012,0.0408069,0.016675,0
7,Collins,IL,1,0.21,0.16,0,450,0,0,1,0,0.0471441,0,0,-0.5495879,0,0.0045729,-0.1177094,0
8,Crane,IL,0,0,0,0,392,0,0,1,1,0.0423311,0.0423311,1,1.665812,1.665812,0.0473832,0.0323445,0
9,Yates,IL,1,0.03,0.06,0,458,0,0,0,0,0.0471441,0,0,0.1467121,0,0.0133898,-0.069618,0
10,Porter,IL,0,0.14,0,0,396,0,0,0,1,0.0423311,0.0423311,1,1.963912,1.963912,0.0242895,-0.0294814,0
11,Sangmeister,IL,1,0.11,0.38,0,458,0,0,0,0,0.050568,0,0,0.2916119,0,0.0407205,0.016461,0
12,Constello,IL,1,0.07,0.13,0,396,0,0,0,0,0.0738882,0,0,-0.5683879,0,0.0297295,-0.0129099,0
13,Fawell,IL,0,0.16,0,0,396,0,0,0,1,0.0493324,0.0493324,1,1.937112,1.937112,0.0446556,0.0259864,0
14,Hastert,IL,0,0.27,0,0,462,0,1,1,1,0.0451209,0.0451209,1,0.9099119,0.9099119,0.0479187,0.0335712,0
15,Ewing,IL,0,0.19,0,0,435,0,0,0,1,0.0320597,0.0320597,1,-0.3955879,-0.3955879,0.0347658,0.0011236,0
16,Manzullo,IL,0,0.11,0,0,396,0,0,0,1,0.0291318,0.0291318,1,0.395212,0.395212,0.0465917,0.0305188,0
17,Evans,IL,1,0.03,0.32,0,394,0,0,0,0,0.0601043,0,0,-0.552088,0,0.0295001,-0.0135763,0
18,Michel,IL,0,0.31,0.03,0,396,0,1,0,1,0.0532425,0.0532425,1,-0.0526881,-0.0526881,0.0285531,-0.0163558,0
19,Poshard,IL,1,0,0.01,0,435,0,0,0,0,0.069732,0,0,-0.773688,0,0.0333015,-0.0028454,0
20,Durbin,IL,1,0.14,0.21,0,458,0,0,0,1,0.0557991,0,0,-0.454288,0,0.0396987,0.0139131,0
1,Visclosky,IN,1,0,0,0,1,0,0,0,0,0.0121224,0,0,0.0584121,0,0.0278122,-0.0185623,0
2,Sharp,IN,1,0.14,0.42,0,395,0,0,1,0,0.0796246,0,0,-0.453088,0,0.0465626,0.0304514,0
3,Roemer,IN,1,0.35,0.13,0,395,0,0,0,0,0.0505469,0.0505469,1,-0.124588,-0.124588,0.0368152,0.0065405,0
4,Long,IN,1,0.17,0.28,0,451,0,0,0,0,0.0667214,0,0,0.0143121,0,0.0500115,0.0383001,0
5,Buyer,IN,0,0.09,0.33,0,462,0,0,0,1,0.1402669,0.1402669,1,-0.282288,-0.282288,0.0534892,0.045945,0
6,Burton,IN,0,0.17,0,0,458,0,1,0,0,0.017344,0.017344,1,0.7928119,0.7928119,0.0416017,0.0186327,0
7,Meyers,IN,0,0.13,0.01,0,462,0,0,0,0,0.0607822,0.0607822,1,-0.2635879,-0.2635879,0.0476919,0.0330524,0
8,McCloskey,IN,1,0.26,0.04,0,396,0,0,0,0,0.0654371,0,0,-0.547388,0,0.0312917,-0.0084376,0
9,Hamilton,IN,1,0.14,0.35,0,286,0,0,0,1,0.0643812,0,0,-0.381588,0,0.0348409,0.001325,0
10,Jacobs,IN,1,0.16,0.07,0,396,0,0,1,0,0.2012691,0,0,-0.5411879,0,0.0286835,-0.0159703,0
1,Roberts,KS,0,0.22,0,0,349,0,1,0,1,-0.0313862,-0.0313862,1,-0.7282879,-0.7282879,0.0864846,0.1087503,0
2,Slattery,KS,1,0.26,0.11,0,449,0,0,1,0,-0.0218066,0,0,-0.581288,0,0.0766447,0.0915155,0
3,Myers,KS,0,0.21,0,0,462,0,0,0,1,0.0163733,0.0163733,1,0.355912,0.355912,0.0608271,0.0612992,0
4,Glickman,KS,1,0.12,0.09,0,455,0,0,0,1,-0.0241577,0,0,-0.2407879,0,0.0710023,0.0811302,0
1,Barlow,KY,1,0.05,0.23,0,21,0,0,0,0,0.0182868,0,0,-1.038488,0,0.0159912,-0.058876,0
2,Natcher,KY,1,0,0,0,463,0,0,0,0,0.031061,0,0,-0.7503881,0,0.0191916,-0.0467986,0
3,Mazzoli,KY,1,0,0,0,461,0,0,0,1,0.0426849,0,0,-0.4101879,0,0.0158416,-0.059469,0
4,Bunning,KY,0,0.25,0.01,0,461,0,0,1,0,0.0189724,0.0189724,1,-0.4353881,-0.4353881,0.0280493,-0.0178532,0
5,Rogers,KY,0,0.18,0,0,456,0,0,0,0,0.0159193,0.0159193,1,-1.566388,-1.566388,0.0108511,-0.0811638,0
6,Baesler,KY,1,0,0,0,435,0,0,0,1,-0.0236707,0,0,-0.533888,0,0.0258792,-0.0244621,0
1,Livingston,LA,0,0.28,0.01,0,396,0,1,0,1,-0.0619156,-0.0619156,1,-0.2838881,-0.2838881,0.0154897,-0.0608745,0
2,Jefferson,LA,1,0.16,0.24,0,460,0,0,1,1,-0.0640303,0,0,-1.234888,0,0.0039038,-0.1228523,0
3,Tauzin,LA,1,0.41,0.03,0,462,0,0,1,0,-0.0685164,-0.0685164,1,-0.690288,-0.690288,0.0197961,-0.0446338,0
4,Fields,LA,1,0.05,0.05,0,462,0,0,1,0,-0.0482169,0,0,-1.620088,0,0.0058904,-0.1085833,0
5,McCrery,LA,0,0.16,0,0,435,0,0,1,1,-0.0388953,-0.0388953,1,-0.7812881,-0.7812881,0.0197505,-0.0447957,0
6,Baker,LA,0,0.23,0,0,435,0,0,1,1,-0.0502345,-0.0502345,1,-0.546488,-0.546488,0.0183435,-0.0498941,0
7,Hayes,LA,1,0.22,0.06,0,460,0,0,0,1,-0.0501345,-0.0501345,1,-0.9273879,-0.9273879,0.021378,-0.0391201,0
1,Olver,MA,1,0.01,0.24,0,386,0,0,0,0,-0.0155719,0,0,0.118712,0,0.0639325,0.0675164,0
2,Neal,MA,1,0.13,0.16,0,396,0,0,0,0,-0.0117195,0,0,0.268512,0,0.0623907,0.0644489,0
3,Blute,MA,0,0.03,0,0,458,0,0,0,0,-0.0136214,-0.0136214,1,0.615712,0.615712,0.0533011,0.0455381,0
4,Frank,MA,1,0.11,0.09,0,386,0,0,1,0,-0.0117471,0,0,0.8289121,0,0.0498218,0.0378757,0
5,Meehan,MA,1,0,0,0,461,0,0,0,1,-0.0270794,0,0,1.198512,0,0.0686806,0.0767376,0
6,Torkildsen,MA,0,0,0,0,441,0,0,0,1,-0.0263416,-0.0263416,1,1.012012,1.012012,0.0610428,0.0617361,0
7,Markey,MA,1,0,0,0,435,0,0,1,1,-0.0263416,0,0,1.060212,0,0.0428159,0.0215876,0
8,Kennedy,MA,1,0.03,0.1,0,435,0,0,1,1,-0.0263416,0,0,-0.0298881,0,0.0159615,-0.0589937,0
9,Moakley,MA,1,0.18,0.12,0,463,1,0,0,0,-0.0069215,0,0,0.793012,0,0.0424239,0.0206383,0
10,Studds,MA,1,0.05,0.11,0,456,0,0,1,1,-0.0238161,0,0,0.677312,0,0.0651226,0.0698591,0
1,Gilchrest,MD,0,0.11,0,0,396,0,0,0,1,-0.0089054,-0.0089054,1,0.4399119,0.4399119,0.0358012,0.0038799,0
2,Bentley,MD,0,0.11,0.05,0,275,0,0,0,0,-0.0061167,-0.0061167,1,0.9404121,0.9404121,0.0374874,0.0082844,0
3,Cardin,MD,1,0.18,0.05,0,460,0,0,1,1,-0.0089475,0,0,0.5254119,0,0.0189141,-0.0478036,0
4,Wynn,MD,1,0.04,0.23,0,406,0,0,1,0,-0.0355198,0,0,1.036512,0,0.0049561,-0.1149329,0
5,Hoyer,MD,1,0.14,0.17,0,460,1,0,0,1,-0.0252678,0,0,1.622012,0,0.0242534,-0.0295974,0
6,Bartlett,MD,0,0.15,0,0,406,0,0,0,0,-0.0151338,-0.0151338,1,0.6167119,0.6167119,0.0317994,-0.0070083,0
7,Mfume,MD,1,0.1,0.21,0,317,0,0,1,0,-0.0101657,0,0,-0.5031881,0,0.0040415,-0.1217593,0
8,Morella,MD,0,0.14,0.07,0,406,0,0,0,1,-0.0355198,-0.0355198,1,2.607312,2.607312,0.0145506,-0.0647064,0
1,Andrews,ME,1,0.03,0.24,0,461,0,0,0,0,-0.0377323,0,0,0.0236121,0,0.0799278,0.0973828,0
2,Snowe,ME,0,0.1,0.02,0,396,0,1,0,0,-0.0197803,-0.0197803,1,-0.6043879,-0.6043879,0.1103655,0.1468808,0
1,Stupak,MI,1,0.02,0.31,0,359,0,0,0,0,0.0680348,0,0,-0.792788,0,0.0524789,0.0437505,0
2,Hoekstra,MI,0,0.01,0,0,458,0,0,0,1,0.067065,0.067065,1,-0.1810879,-0.1810879,0.0430891,0.0222469,0
4,Camp,MI,0,0.13,0,0,463,0,0,1,1,0.1055128,0.1055128,1,-0.4817881,-0.4817881,0.0603622,0.0603549,0
5,Barcia,MI,1,0.17,0.13,0,435,0,0,0,0,0.1509153,0,0,-0.4403879,0,0.0534377,0.0458336,0
6,Upton,MI,0,0.17,0,0,462,0,0,1,1,0.0309298,0.0309298,1,-0.226288,-0.226288,0.048212,0.03424,0
7,Smith,MI,0,0,0,0,458,0,0,0,1,0.0655686,0.0655686,1,-0.0739879,-0.0739879,0.0600066,0.0596302,0
8,Carr,MI,1,0.21,0.12,0,396,0,0,0,0,0.1078156,0,0,0.519512,0,0.0550887,0.0493776,0
9,Kildee,MI,1,0.1,0.3,0,396,0,0,0,0,0.1267103,0,0,0.402112,0,0.0431278,0.0223401,0
10,Bonior,MI,1,0.21,0.22,0,273,1,0,0,0,0.0936299,0,0,0.582012,0,0.0482528,0.0343329,0
11,Knollenberg,MI,0,0.09,0,0,396,0,0,1,1,0.0936299,0.0936299,1,1.830512,1.830512,0.0256765,-0.0250935,0
